Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,9224.366,Afghanistan,1528.182,,Afghanistan,500,26,0.11,,,Country,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Bulgaria,EUR,7177991,Europe and Central Asia,A,2598.9491,2487.548,111.4011,78,78,71,824,,0,819,,0,5,,,9553.704949,12.81594566,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gambia,,,,,,,AZT + 3TC + NVP,0,0.8193333333,0.02,0.8193333333,3,0,0.001749276667,,,,,,,,,,,Canada,16082.53,Cape Verde,286.2016,,Chad,18000,3838,0.22,,,El Salvador,83,63,83,2015,,Cameroon,27 [24-30],168 249,0.27,168249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,AFR,18110624,Sub-Saharan Africa,A,188047.49,134589.2,53458.29,97.14,97.14,97.14,52304,95098.18182,0.55,49955,87398.18182,0.5715793963,2349,7700,0.31,92000,24000,52585.30446,7440,577.0084996,36.2897442,239.9573743,1.034342709,5.293786539,385.2293551,131.0436506,62.55339676,254.0985612,440.4852262,7.064369443,2140.058307,,Georgia,,,,,,,AZT + ABC + 3TC + LPV/r,0,0.7785,0.01,0.834,4,0,0.000890295,,,,,,,,,,,Cape Verde,4797.9,Caribbean,56044.07,,Chile,,144,,,,Eritrea,79,95,77,2015,,Canada,High-income country,No data,,,557.9716220100053,36.25074015841819,233.37405239321572,0.8878887484630605,5.3387065515600005,370.28484254241823,125.64473684427824,59.99722817892839,247.30418838349684,414.16071662744207,6.797114780825209,2058.0118372190514
Burundi,AFR,10199270,Sub-Saharan Africa,A,215208.1,156313.8,58894.3,90,90,93,42169,78090.74074,0.54,39515,68990.74074,0.5727580191,2654,9100,0.29,72000,19000,41238.57737,5510,2295.019424,131.4326954,943.3816815,3.727011885,19.06949261,1557.470086,533.3556854,242.9998262,1002.377931,1790.824206,28.74689879,8548.404939,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean,518067.1,Central African Republic,61045.54,,China,,,,,,Fiji,59,,59,2015,,Central African Republic,24 [21-27],28 303,0.24,28303,2177.2296933063267,131.1132632053401,901.873455701548,3.199332854593544,19.23113959825017,1464.6984739479017,500.12270702090746,230.07077806021965,958.2474797434024,1646.7530517153289,27.099455691449343,8059.638830845269
Cambodia,WPR,15517635,"East, South and South-East Asia",A,126973.454,117498.3,9475.154,79,78,84,54929,74228.37838,0.74,54929,74228.37838,0.74,,,,74000,1228.47859048995,54760,0,3983.284772,14.90124281,1457.168045,0.0,0.0,3121.9678,1118.957463,316.1996189,1605.410244,3736.778155,58.6645718,15413.33191,,Guinea,,,,,,Priority,Determination,,Key,,,,,,,,,,,,,,,,Central African Republic,379740.6,Central Asia,2821.522,,Colombia,1400,,,,,Finland,94,,,2015,,Chad,36 [29-46],59 622,0.36,59622,3983.2847723838972,14.901242806985325,1457.1680454057228,0.0,0.0,3121.9677999603864,1118.9574626128042,316.19961885796573,1605.4102443759332,3670.055232654224,58.664571802416255,15346.608990860335
Cameroon,AFR,22834522,Sub-Saharan Africa,A,1816622.7,1534503,282119.7,60,97.14,97.14,168249,623144.4444,0.27,161153,584144.4444,0.275878683,7096,39000,0.18,530000,60000,146215.702,10800,38770.31738,1603.05981,15553.8007,44.30764196,226.348916,27271.73787,9613.15808,3946.17001,16660.73268,32035.34814,543.1106059,146268.0918,,Guinea-Bissau,,,,,,#1,Original Data Point(s),is original,Blue,,,,,,,,,,,,,,,,Central Asia,88409.82,Central Europe,1444.027,,Comoros,,,,,,Gambia,83,,,2015,,Chile,87 [59->95],28 082,0.87,28082,38016.84133675531,1600.956279768288,15285.012715599016,38.03665476343646,228.25682450685798,26694.81752560399,9399.570456722995,3836.6926362010104,16386.234177451177,30701.388488647255,531.5258680886229,142719.33296410795
Canada,AMR,35848610,,B,16383.1556,16082.53,300.6256,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,120585.585,190.9271762,43858.94712,0,34.19983393,0.1364546613,12.71957051,0.0,0.0,26.45940681,9.631274165,2.869186919,13.96576989,31.94990353,0.5367444705,132.4681449,,India,,,,,,#2,Average of all data points for that regimen,"is specific to that regimen, but not quadrant",Pink,,,,,,,,,,,,,,,,Central Europe,19248.96,"Central Europe, Eastern Europe, and Central Asia",48320,,Congo,,,,,,Georgia,84,75,84,2015,,China,No data,No data,,,34.15810068426634,0.1589502303092061,12.624001095545845,0.0,0.0,25.988511821760234,9.525256034286043,3.3470288136212503,13.72249959035874,31.269917763757434,0.6253164928121673,131.41958252671728
Cape Verde,AFR,532913,Sub-Saharan Africa,A,5084.1016,4797.9,286.2016,96,96,97,,,0.3637163359,,,0.3583525923,,,,1000,359.810532,358.3525923,0,14.04686789,0.05609492273,5.225414719,0.0,0.0,10.8657228,3.95592775,1.179336939,5.737089208,13.12201527,0.2206466974,54.40911619,,Indonesia,,,,,,#3,"Average of all original data points of that quadrant. An example of a quadrant is ""second-line adults"" or ""first-line children""",is average of listed drugs in second or first line regimen,Cyan,,,,,,,,,,,,,,,,"Central Europe, Eastern Europe, and Central Asia",1470441,Central Latin America,38369.06,,Cook Islands,,,,,,Greece,97,100,97,2015,,Colombia,No data,No data,,,14.269697842161682,0.056934977812491835,5.307172783924472,0.0,0.0,11.040046017011555,4.0185976474829355,1.1971529007739639,5.827142811463156,13.076377277009769,0.22395376039594267,55.017076018035965
Cayman Islands,AMR,59963,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Iran,,,,,,,,,,,,,,,,,,,,,,,,,Central Latin America,573581,Central Sub-Saharan Africa,854564.9,,Costa Rica,200,65,0.53,,,Grenada,57,,57,2015,,Comoros,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,AFR,4546100,Sub-Saharan Africa,A,440786.14,379740.6,61045.54,97.14,97.14,97.14,28303,117929.1667,0.24,25900,108529.1667,0.2386455254,2403,9400,0.25,190690.2514,3069.421575,45507.37524,767.3553937,620.3770087,33.74666072,255.7911015,0.952325034,4.869860915,420.4892667,146.2771506,66.91535921,271.7605361,488.3886384,8.31167615,2317.879584,,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,Central Sub-Saharan Africa,2642656,Chad,131695.4,,Cote d'Ivoire,29000,6945,0.24,,,Guatemala,89,86,89,2015,,Congo,No data,No data,,,623.5970262423776,33.78125009371329,257.2166816418329,0.8175097728384098,4.9110568880267165,423.15446680870843,147.13870314252787,66.15190231606893,273.77668401090295,481.3238393347536,8.35889264224452,2320.2280128939956
Chad,AFR,14009413,Sub-Saharan Africa,A,513923.7,382228.3,131695.4,97.14,97.14,97.14,59622,165616.6667,0.36,55784,147616.6667,0.377897708,3838,18000,0.22,180000,34000,68021.58744,7480,1037.427118,63.29751736,430.8924667,1.807741483,9.240226442,693.9033753,238.3712877,113.7295092,456.4724464,798.4337679,13.25471593,3856.830172,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,Chad,382228.3,Chile,684.7186,,Croatia,,3,,,,Guyana,78,87,78,2015,,Cook Islands,No data,No data,,,995.2277802434457,63.17702428319662,415.84056853196125,1.5518541516178725,9.318272831752285,661.2132315640015,226.42939052751353,108.41212683054975,440.7462861258405,743.4533008152962,12.626114793140443,3677.9959506983155
Chile,AMR,17762681,Latin America and the Caribbean,B,21904.0186,21219.3,684.7186,97,97,97.14,28082,32278.16092,0.87,27938,32278.16092,0.8655387793,144,,,36000,1357.542707,31159.39605,0,123.016006,0.4497354048,44.71988757,0.0,0.0,96.85799868,34.50956765,9.57268735,49.32381812,115.5749441,1.771069453,475.7957143,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,Chile,21219.3,China,117566.9,,Cuba,100,29,0.95,,,Honduras,83,80,83,2015,,Costa Rica,56 [50-62],5 623,0.56,5623,123.27141463362615,0.5266444058885843,44.56119766457528,0.0,0.0,95.5240602599872,34.2613575754422,11.250675181303757,48.683393472459976,113.67109167194634,2.0746432953173923,473.82447816054685
China,WPR,1371220000,"East, South and South-East Asia",A,1911023.9,1793457,117566.9,87,87,89,,,0.2518046743,,,0.2518046743,,,,703478.780205437,7238.282814,177139.2452,0,11785.55032,47.87772346,4402.36108,0.0,0.0,9084.848647,3320.226164,1004.004471,4828.644477,10997.42725,188.2788858,45659.21902,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,China,1793457,Colombia,6073.543,,Cyprus,,,,,,Iran (Islamic Republic of),80,80,80,2015,,Croatia,High-income country,924,,924,11785.550315036038,47.87772345196312,4402.361079310885,0.0,0.0,9084.848645393526,3320.226162775707,1004.0044705060895,4828.644476181571,10783.468538004876,188.278885730559,45445.260296391214
"China, Hong Kong SAR",WPR,7305700,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,111581.6,Comoros,135.2929,,Czech Republic,,,,,,Jamaica,60,100,60,2015,,Cuba,69 [59-75],15 083,0.69,15083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"China, Macao SAR",WPR,600942,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,877.152,Congo,68989.94,,Democratic People's Republic of Korea,,,,,,Jordan,73,,73,2015,,Cyprus,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,AMR,48228697,Latin America and the Caribbean,B,117655.143,111581.6,6073.543,68,68,66,,,1,,,1,,1400,,140000,3685.959112,140000,0,8179.975227,29.15041461,2952.226692,0.0,0.0,6473.204508,2290.530958,622.5331134,3259.938029,7697.880651,114.8305337,31620.27013,,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,Congo,203664.3,Costa Rica,460.2796,,Democratic Republic of the Congo,42000,9185,0.22,,,Kazakhstan,75,91,74,2015,,Czechia,High-income country,No data,,,8141.642184525766,33.96119959026696,2923.4477977008687,0.0,0.0,6340.991513451751,2259.3046762010968,728.2450997803618,3197.8781687342453,7522.639183036733,133.8320787605043,31281.941901781593
Comoros,AFR,777424,Sub-Saharan Africa,A,1012.4449,877.152,135.2929,97.14,97.14,97.14,,,0.3583525923,,,0.3583525923,,,,32609.74858,524.898704,11685.78794,0,1.836154434,0.007332520096,0.6830468173,0.0,0.0,1.420326955,0.5171041925,0.1541585474,0.7499310073,1.715261132,0.02884211733,7.112157722,,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,Costa Rica,6931.142,Cote d'Ivoire,266722.7,,Denmark,,,,,,Kenya,81,,,2015,,Democratic People's Republic of Korea,No data,No data,,,1.8361544339275593,0.007332520094814346,0.6830468171584367,0.0,0.0,1.420326954483155,0.5171041924442334,0.15415854737679177,0.7499310071847445,1.6824790638963427,0.028842117327101336,7.079375653893179
Congo,AFR,4995648,Sub-Saharan Africa,A,272654.24,203664.3,68989.94,97.14,97.14,97.14,,,0.3583525923,,,0.3583525923,,,,63000,14000,22576.21332,0,426.3333009,1.702524275,158.5953768,0.0,0.0,329.7830878,120.0654657,35.7937879,174.1250931,398.2633086,6.69679786,1651.358743,,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,Cote d'Ivoire,978347.4,Croatia,21.32453,,Djibouti,1000,74,0.08,,,Kiribati,89,100,86,2015,,Democratic Republic of the Congo,33 [26-40],122 268,0.33,122268,426.33330081645204,1.7025242744088793,158.59537672353366,0.0,0.0,329.7830877156338,120.06546571314901,35.793787895953194,174.12509305864427,390.65170097440796,6.69679785936983,1643.7471350315527
Cook Islands,WPR,18800,Oceania,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,Croatia,276.0722,Cuba,712.7452,,Dominica,,,,,,Kyrgyzstan,76,89,74,2015,,Denmark,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,AMR,4807852,Latin America and the Caribbean,B,7391.4216,6931.142,460.2796,97.14,97.14,97.14,5623,10041.07143,0.56,5558,9841.071429,0.5647759027,65,200,0.53,8900,367.4481583,5026.505534,194.7475239,25.39057497,0.6071193776,9.804784269,0.0152383926,0.07823579623,18.77615151,6.66067702,2.296320777,10.63247871,22.23095202,0.3594649662,96.85199781,,Libya,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,15270.3,Cyprus,0.86717,,Dominican Republic,2100,809,0.39,,,Lao People's Democratic Republic,84,92,83,2015,,Djibouti,21 [15-29],1 945,0.21,1945,25.113916451459755,0.6197288346396521,9.649354048388771,0.015238392599341405,0.0782357962291455,18.26377469241583,6.521442676107952,2.598773893457861,10.370690245120437,21.54869533423877,0.41528426873636065,95.19513463339388
Cote d'Ivoire,AFR,23108472,Sub-Saharan Africa,A,1245070.1,978347.4,266722.7,76,97.14,97.14,,,0.3637163359,,,0.3583525923,6945,29000,0.24,390000,68000,139757.511,16320,20739.84012,1181.281993,8560.507577,33.51904289,171.3804424,14012.35091,4839.957017,2238.183444,9088.264148,16193.84639,269.9545085,77329.08559,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,159.06,Czech Republic,56.03869,,Ecuador,500,670,0.95,,,Lebanon,92,,92,2015,,Dominica,No data,No data,,,21017.86328907294,1183.0818960730055,8670.59031803176,28.774092604059852,172.8294705441644,14235.819614457825,4916.631726456633,2224.202060313919,9225.329609037979,16122.966697756237,274.0005992666711,78072.08937361519
Croatia,EUR,4203604,Europe and Central Asia,A,297.39673,276.0722,21.32453,93,93,97.14,924,,0,921,,0,3,,,5594.879172,7.505325718,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,Czech Republic,648.4643,Democratic Republic of the Congo,547783.6,,Egypt,500,73,0.27,,,Lithuania,63,100,63,2015,,Dominican Republic,46 [36-63],31 321,0.46,31321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,AMR,11461432,Latin America and the Caribbean,B,15983.0452,15270.3,712.7452,96,96,97.14,15083,21859.42029,0.69,15054,21759.42029,0.6918382843,29,100,0.95,4300,1704.751666,2974.904622,1619.514082,98.76440227,2.409552465,38.32884227,0.05924748556,0.3060308203,72.84099246,25.68430701,8.761280268,41.54015781,85.93616343,1.357461268,375.9884376,,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo,1478999,Denmark,26.83577,,El Salvador,500,273,0.78,,,Madagascar,80,,,2015,,Ecuador,54 [43-64],15 642,0.54,15642,98.20729824376218,2.4593316901649867,37.92209293202479,0.0592474855587418,0.306030820301094,71.26584708653776,25.293167128054133,9.96146347395129,40.746767627274934,83.80457981843605,1.5775697073553807,371.60339601342133
Curacao,AMR,157979,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,Denmark,1569.254,Djibouti,3597.963,,Equatorial Guinea,2400,245,0.1,,,Malawi,76,,,2015,,Egypt,19 [12-31],2 147,0.19,2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,EUR,1160985,Europe and Central Asia,A,159.92717,159.06,0.86717,97.14,97.14,97.14,,,0,,,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,17097.56,Dominica,11.57927,,Eritrea,1400,470,0.35,,,Malaysia,95,89,95,2015,,El Salvador,54 [50-60],10 803,0.54,10803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EUR,10546059,Europe and Central Asia,A,704.50299,648.4643,56.03869,97.14,97.14,97.14,,,0.3637163359,,,0,,,,14036.50911,18.82946344,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,289.4071,Dominican Republic,6675.191,,Estonia,,,,,,Maldives,100,,100,2015,,Equatorial Guinea,31 [29-34],8 509,0.31,8509,1.3789727964394114,0.005501993555696351,0.5128662832237526,0.0,0.0,1.066870742274384,0.3883429696276532,0.11568859422294146,0.5631143354860195,1.2636545454870909,0.02164209408371969,5.316654354400669
Democratic People's Republic of Korea,SEA,25243917,"East, South and South-East Asia",A,0,0,0,97.14,97.14,97.14,,,0.2518046743,,,0.2518046743,,,,12634.6777717123,133.2555028,3181.470922,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,Dominican Republic,89754.48,East Asia,119732,,Ethiopia,,22009,,,,Marshall Islands,88,,88,2015,,Eritrea,60 [47-76],8 431,0.6,8431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,AFR,76196619,Sub-Saharan Africa,A,2026782.6,1478999,547783.6,86,97.14,97.14,122268,370509.0909,0.33,113083,328509.0909,0.3442309608,9185,42000,0.22,390000,90000,134250.0747,19800,18412.1731,1278.33138,7772.995767,36.80753611,188.1408219,12017.7445,4090.624926,2094.368629,8193.817083,13719.17557,228.664484,68032.84381,,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,East Asia,1832801,East Midlands,31.57147,,Fiji,,4,,,,Mauritania,74,80,73,2015,,Estonia,High-income country,No data,,,17784.767429240594,1276.7245517663225,7550.91655647091,31.597398328599613,189.72992925429622,11534.598660747119,3912.6019350970428,2004.1397719465951,7966.727154523061,12860.549082363856,219.19958332164762,65331.55205306005
Denmark,EUR,5683483,Europe and Central Asia,A,1596.08977,1569.254,26.83577,97.14,97.14,97.14,,,0,,,0,,,,7564.556666,10.14757602,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,East Midlands,564.5681,East of England,52.00827,,Finland,,,,,,Mexico,85,81,85,2015,,Ethiopia,No data,386 123,,386123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,EMR,927414,,A,20695.523,17097.56,3597.963,86,86,67,1945,9261.904762,0.21,1871,8261.904762,0.2264610951,74,1000,0.08,7600,1200,1721.104323,96,117.4253333,3.328256578,45.96551554,0.08786720273,0.4482409625,85.33942996,30.53478578,11.3345262,49.6237935,101.4712997,1.738274442,447.2973232,,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,East of England,813.9053,Eastern Europe,44054.45,,France,,,,,,Micronesia (Federated States of),100,,,2015,,Fiji,No data,259,,259,109.28965810704526,3.2971980541961976,42.96255005086795,0.07543505515246617,0.4519998636831923,79.054735111688,28.24233220547456,10.56367667844655,46.36692049974579,91.9908219780608,1.6118233668391695,413.90715097119994
Dominica,AMR,73162,Latin America and the Caribbean,B,300.98637,289.4071,11.57927,97.14,97.14,97.14,,,1,,,1,,,,,,,,1.896202174,0.006757365153,0.6843564332,0.0,0.0,1.500555212,0.5309685739,0.1443095621,0.755687078,1.784447705,0.02661889574,7.329902998,,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Europe,1362783,Eastern Sub-Saharan Africa,5590274,,Gabon,2600,1375,0.52,,,Mongolia,95,,95,2015,,Finland,High-income country,No data,,,1.8873161810625645,0.007872554462885623,0.6776851902898936,0.0,0.0,1.4699068831670807,0.5237300014791818,0.1688146849793125,0.7413009655951139,1.7438249351494286,0.031023648800239167,7.2514750449857015
Dominican Republic,AMR,10528394,Latin America and the Caribbean,B,96429.671,89754.48,6675.191,95,95,97.14,31321,68089.13043,0.46,30512,65989.13043,0.4623791797,809,2100,0.39,45000,1565.973362,20807.06309,610.7296113,462.2545693,11.21983463,178.9111092,0.2841506236,1.455947524,340.8804444,121.3850392,42.46493704,193.8797858,404.4631852,6.659909368,1763.858912,,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sub-Saharan Africa,13360130,Ecuador,302.0706,,Gambia,1800,438,0.24,,,Montenegro,94,100,93,2015,,France,High-income country,No data,,,459.0350128473083,11.45980641259624,176.69271295712355,0.28415062359508547,1.4559475236785846,332.95936083255515,119.34024351077892,48.178244740822414,189.76374535405796,393.6126269443138,7.719373550042583,1740.501225296873
Ecuador,AMR,16144368,Latin America and the Caribbean,B,37273.0106,36970.94,302.0706,97.14,97.14,97.14,15642,28966.66667,0.54,14972,28466.66667,0.5259484778,670,500,0.95,48000,1233.86042,25245.52693,1172.167399,119.060771,1.079368575,44.61842724,0.0179535412,0.09273536063,91.28444324,32.87349198,10.01757144,48.8624363,109.4067555,1.785321678,459.0992759,,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,Ecuador,36970.94,Egypt,1936.476,,Georgia,100,53,0.95,,,Morocco,82,,,2015,,Gabon,58 [49-67],27 037,0.58,27037,122.2137961230798,1.166490817477811,45.485398449827265,0.017953541196100146,0.09273536062732264,92.25718986219827,33.43481982945903,11.922149439158408,49.34894395555583,110.18413414804562,2.135842341849644,468.25945386847513
Egypt,EMR,93778172,Middle East and North Africa,A,11122.528,9186.052,1936.476,80,80,94,2147,11300,0.19,2074,10800,0.192037037,73,500,0.27,5200,4788.298093,998.5925926,1292.840485,94.48874704,7.876880302,41.14222164,0.2281724705,1.16712687,58.87712942,19.76716144,11.44554097,42.99911821,66.37511211,1.13122986,345.4984403,,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,9186.052,El Salvador,828.4091,,Germany,,,,,,Mozambique,66,64,66,2015,,Gambia,24 [20-30],5 022,0.24,5022,93.7639595113182,7.87955340948259,40.93024669296197,0.19586933338806184,1.1770101587862591,58.353657642571605,19.551268721996806,11.1378075049043,42.873745569220205,64.28471996732692,1.1192218366018911,341.26706034855874
El Salvador,AMR,6312478,Latin America and the Caribbean,B,25209.1291,24380.72,828.4091,83,83,63,10803,20005.55556,0.54,10530,19505.55556,0.5398461977,273,500,0.78,24000,482.4417256,12956.30874,376.304546,499.7751378,10.09474134,192.3145072,0.2401410698,1.2373534,372.0419886,132.5683728,44.3876658,208.9378302,442.0114,7.183477459,1910.792616,,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,El Salvador,24380.72,England,628.4882,,Ghana,19000,4934,0.27,,,Myanmar,85,90,85,2015,,Georgia,32 [25-40],3 044,0.32,3044,498.8482952707143,10.371916752941184,190.87018498385524,0.24014106982032804,1.2373534003611573,365.3935768655072,131.05931977389548,50.83023437437932,205.5190838496716,432.61588764292395,8.372171463608797,1895.3581654476789
Equatorial Guinea,AFR,1175389,Sub-Saharan Africa,A,45351.99,35612.91,9739.08,97.14,97.14,97.14,8509,27448.3871,0.31,8264,25048.3871,0.3299214424,245,2400,0.1,26000,3100,8577.957502,310,74.59058214,2.271798024,29.22392173,0.06073907511,0.309938683,54.0845598,19.24129951,7.190477589,31.53132674,64.05087474,1.077987634,283.6335057,,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,England,9848.281,Equatorial Guinea,9739.08,,Greece,100,,,,,Namibia,85,87,85,2015,,Germany,High-income country,No data,,,70.26176990776197,2.256070073656432,27.641798196681172,0.052144684073877706,0.3125404676156012,50.721828935954534,18.022146998505598,6.7751675382677545,29.819145082881956,58.81388328993408,1.0128210845821852,265.6893162599152
Eritrea,AFR,,Sub-Saharan Africa,A,47710.57,33785.33,13925.24,79,77,95,8431,14051.66667,0.6,7961,12651.66667,0.6292451587,470,1400,0.35,16000,3600,10067.92254,1260,1196.844245,78.34329118,500.1387478,2.23396317,11.43998368,793.6850757,268.4867923,130.35608,528.8819658,903.9210813,14.33775919,4428.668985,,Niger,,,,,,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,35612.91,Eritrea,13925.24,,Grenada,,2,,,,New Zealand,98,,,2015,,Ghana,34 [29-41],94 047,0.34,94047,1148.3541608153246,78.24234406138626,483.390490979424,1.9176131340846918,11.537255817819577,755.373532522011,254.75499622569123,124.33448137657267,511.387802132006,841.1485528934458,13.669898983868359,4224.111128941634
Estonia,EUR,1315407,Europe and Central Asia,A,1867.78868,1846.886,20.90268,97.14,97.14,97.14,,,0,,,0,,,,1750.76987,2.348593727,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,Eritrea,33785.33,Estonia,20.90268,,Guatemala,2000,856,0.44,,,Nicaragua,79,100,78,2015,,Greece,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,AFR,99873033,Sub-Saharan Africa,A,1639891.3,1227515,412376.3,97.14,97.14,97.14,386123,1077494.647,0.3583525923,364114,1077494.647,0.3379265048,22009,,,64000,190000,21627.29631,0,2415.009488,9.676185381,899.1069394,0.0,0.0,1866.833562,680.1753975,203.3316248,986.960663,2255.520865,38.05903544,9354.673761,,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,Estonia,1846.886,Ethiopia,412376.3,,Guinea,7000,1532,0.22,,,Niger,67,71,67,2015,,Grenada,No data,No data,,,2569.574155861912,10.261366791828591,955.8779023068274,0.0,0.0,1987.6516744331545,723.6524032188074,215.73447849770918,1049.4778103274934,2354.5158514359196,40.36259582236237,9907.108238696013
